"01-446 Aurora" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"01-485 Fairbanks No. 6" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,9 
"01-485 Fairbanks No. 6" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,182 
"01-485 Fairbanks No. 6" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,14 
"01-490 Fairbanks No. 7" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"01-490 Fairbanks No. 7" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"01-490 Fairbanks No. 7" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1875 
"01-490 Fairbanks No. 7" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,506 
"01-490 Fairbanks No. 7" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,6 
"01-490 Fairbanks No. 7" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,216 
"01-490 Fairbanks No. 7" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"01-490 Fairbanks No. 7" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,26 
"01-490 Fairbanks No. 7" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,11 
"01-490 Fairbanks No. 7" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,228 
"01-490 Fairbanks No. 7" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,15 
"01-495 Fairbanks No. 10" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"01-495 Fairbanks No. 10" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"01-495 Fairbanks No. 10" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,838 
"01-495 Fairbanks No. 10" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,201 
"01-495 Fairbanks No. 10" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,2 
"01-495 Fairbanks No. 10" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,58 
"01-495 Fairbanks No. 10" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"01-495 Fairbanks No. 10" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,5 
"01-495 Fairbanks No. 10" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,6 
"01-495 Fairbanks No. 10" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,119 
"01-495 Fairbanks No. 10" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,11 
"02-345 Badger No. 2" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"02-345 Badger No. 2" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"02-345 Badger No. 2" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,2935 
"02-345 Badger No. 2" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,1105 
"02-345 Badger No. 2" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,21 
"02-345 Badger No. 2" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,214 
"02-345 Badger No. 2" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,6 
"02-345 Badger No. 2" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,73 
"02-345 Badger No. 2" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,8 
"02-345 Badger No. 2" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,754 
"02-345 Badger No. 2" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,22 
"02-355 Fairbanks No. 8" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"02-355 Fairbanks No. 8" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"02-355 Fairbanks No. 8" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1929 
"02-355 Fairbanks No. 8" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,604 
"02-355 Fairbanks No. 8" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,3 
"02-355 Fairbanks No. 8" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,202 
"02-355 Fairbanks No. 8" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,3 
"02-355 Fairbanks No. 8" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,37 
"02-355 Fairbanks No. 8" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,23 
"02-355 Fairbanks No. 8" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,308 
"02-355 Fairbanks No. 8" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,25 
"02-365 Fairbanks No. 9" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"02-365 Fairbanks No. 9" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"02-365 Fairbanks No. 9" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,2860 
"02-365 Fairbanks No. 9" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,963 
"02-365 Fairbanks No. 9" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,12 
"02-365 Fairbanks No. 9" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,256 
"02-365 Fairbanks No. 9" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,4 
"02-365 Fairbanks No. 9" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,54 
"02-365 Fairbanks No. 9" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,16 
"02-365 Fairbanks No. 9" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,558 
"02-365 Fairbanks No. 9" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,53 
"02-375 Fort Wainwright" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"02-375 Fort Wainwright" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"02-375 Fort Wainwright" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,3494 
"02-375 Fort Wainwright" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,359 
"02-375 Fort Wainwright" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,6 
"02-375 Fort Wainwright" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,88 
"02-375 Fort Wainwright" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"02-375 Fort Wainwright" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,35 
"02-375 Fort Wainwright" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,5 
"02-375 Fort Wainwright" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,217 
"02-375 Fort Wainwright" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,7 
"03-130 Badger No. 1" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"03-130 Badger No. 1" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"03-130 Badger No. 1" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,3035 
"03-130 Badger No. 1" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,1083 
"03-130 Badger No. 1" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,13 
"03-130 Badger No. 1" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,202 
"03-130 Badger No. 1" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,1 
"03-130 Badger No. 1" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,56 
"03-130 Badger No. 1" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,18 
"03-130 Badger No. 1" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,753 
"03-130 Badger No. 1" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,32 
"03-135 Chena Lakes" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"03-135 Chena Lakes" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"03-135 Chena Lakes" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,2642 
"03-135 Chena Lakes" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,1022 
"03-135 Chena Lakes" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,17 
"03-135 Chena Lakes" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,135 
"03-135 Chena Lakes" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,7 
"03-135 Chena Lakes" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,58 
"03-135 Chena Lakes" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,9 
"03-135 Chena Lakes" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,761 
"03-135 Chena Lakes" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,32 
"03-165 Newby" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"03-165 Newby" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"03-165 Newby" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,3263 
"03-165 Newby" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,1251 
"03-165 Newby" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,15 
"03-165 Newby" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,174 
"03-165 Newby" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,4 
"03-165 Newby" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,84 
"03-165 Newby" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,15 
"03-165 Newby" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,919 
"03-165 Newby" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,38 
"03-175 North Pole" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"03-175 North Pole" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"03-175 North Pole" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1645 
"03-175 North Pole" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,590 
"03-175 North Pole" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,10 
"03-175 North Pole" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,108 
"03-175 North Pole" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"03-175 North Pole" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,47 
"03-175 North Pole" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,6 
"03-175 North Pole" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,393 
"03-175 North Pole" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,17 
"03-183 Plack" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"03-183 Plack" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"03-183 Plack" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,2707 
"03-183 Plack" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,1076 
"03-183 Plack" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,28 
"03-183 Plack" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,132 
"03-183 Plack" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"03-183 Plack" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,68 
"03-183 Plack" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,15 
"03-183 Plack" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,794 
"03-183 Plack" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,29 
"04-230 Ester" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"04-230 Ester" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"04-230 Ester" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,945 
"04-230 Ester" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,499 
"04-230 Ester" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,7 
"04-230 Ester" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,268 
"04-230 Ester" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"04-230 Ester" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,23 
"04-230 Ester" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,15 
"04-230 Ester" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,159 
"04-230 Ester" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,25 
"04-240 Farmers Loop" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"04-240 Farmers Loop" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"04-240 Farmers Loop" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,2581 
"04-240 Farmers Loop" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,1149 
"04-240 Farmers Loop" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,5 
"04-240 Farmers Loop" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,559 
"04-240 Farmers Loop" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"04-240 Farmers Loop" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,51 
"04-240 Farmers Loop" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,31 
"04-240 Farmers Loop" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,460 
"04-240 Farmers Loop" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,33 
"04-250 Goldstream No. 1" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"04-250 Goldstream No. 1" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"04-250 Goldstream No. 1" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1156 
"04-250 Goldstream No. 1" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,502 
"04-250 Goldstream No. 1" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,3 
"04-250 Goldstream No. 1" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,251 
"04-250 Goldstream No. 1" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,1 
"04-250 Goldstream No. 1" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,27 
"04-250 Goldstream No. 1" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,15 
"04-250 Goldstream No. 1" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,185 
"04-250 Goldstream No. 1" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,16 
"04-260 Goldstream No. 2" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"04-260 Goldstream No. 2" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"04-260 Goldstream No. 2" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1477 
"04-260 Goldstream No. 2" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,750 
"04-260 Goldstream No. 2" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,9 
"04-260 Goldstream No. 2" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,411 
"04-260 Goldstream No. 2" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,4 
"04-260 Goldstream No. 2" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,62 
"04-260 Goldstream No. 2" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,38 
"04-260 Goldstream No. 2" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,202 
"04-260 Goldstream No. 2" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,18 
"04-265 Steese East-Gilmore" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"04-265 Steese East-Gilmore" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"04-265 Steese East-Gilmore" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,3297 
"04-265 Steese East-Gilmore" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,1370 
"04-265 Steese East-Gilmore" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,26 
"04-265 Steese East-Gilmore" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,341 
"04-265 Steese East-Gilmore" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,3 
"04-265 Steese East-Gilmore" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,104 
"04-265 Steese East-Gilmore" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,18 
"04-265 Steese East-Gilmore" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,820 
