State,VEP_Total_Ballots_Counted,VEP_Highest_Office,VAP_Highest_Office,Total_Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
North Dakota,65.50%,64.80%,63.80%,316049,312833,482722,496479,1.30%,1266,0,0,1266,
Ohio,67.90%,66.80%,65.10%,5722443,5627908,8427696,8624277,2.00%,44770,0,0,44770,
Oklahoma,,58.30%,55.30%,,1463758,2510823,2649994,3.40%,24767,28435,4329,43314,
Oregon,72.60%,72.00%,66.80%,1851671,1836782,2550887,2736472,6.80%,13219,0,0,13219,
Pennsylvania,,62.60%,60.60%,,5769590,9221962,9554349,2.70%,40692,0,0,40692,
Rhode Island,58.90%,58.50%,52.90%,440228,437134,747046,827513,7.60%,3701,26085,368,17112,
South Carolina,53.20%,53.00%,50.70%,1626720,1617730,3055098,3198733,2.70%,24173,38856,2217,45818,
South Dakota,69.40%,68.20%,66.90%,394930,388215,569161,576472,1.40%,3101,0,0,3101,
Tennessee,56.80%,56.30%,54.10%,2456610,2437319,4328446,4496929,2.60%,25834,47392,8410,57940,
Texas,,53.70%,45.40%,,7410765,13796256,16284659,12.50%,169110,428773,102072,485569,
Utah,59.80%,58.90%,54.70%,942010,927844,1574463,1664066,6.80%,5802,0,0,5802,
Vermont,66.70%,66.30%,65.00%,314220,312309,470754,480053,2.10%,0,0,0,0,
Virginia,61.10%,60.60%,56.20%,3223156,3198367,5277156,5699175,6.20%,35472,43470,4392,61599,
Washington,67.50%,66.90%,60.80%,2883499,2859084,4272914,4683829,7.40%,16559,125222,120,79290,
West Virginia,55.10%,54.10%,53.40%,769645,755887,1396545,1425689,0.60%,4980,6977,1216,9685,
Wisconsin,75.30%,74.80%,71.60%,3016288,2997007,4006948,4172068,2.70%,22905,54970,13883,64273,
Wyoming,66.30%,65.70%,63.70%,245789,243428,370785,386796,1.70%,1923,4418,563,4695,
